CERBERUS_OFFER_ID ; 101
ENT_17_entitlement ; ME3_PRO_RECRU_REPACK_LOYALTYPACK_02
ENT_17_group ; ME3GenContent
ENT_17_ID ; 1100002
ENT_18_entitlement ; ME3_PRO_RECRU_REPACK_LOYALTYPACK_03
ENT_18_group ; ME3GenContent
ENT_18_ID ; 1100003
ENT_19_entitlement ; ME3_PRO_RECRU_REPACK_LOYALTYPACK_04
ENT_19_group ; ME3GenContent
ENT_19_ID ; 1100004
ENT_1_group ; ME3PCOffers
ENT_20_entitlement ; ME3_PRO_RECRU_REPACK_LOYALTYPACK_05
ENT_20_group ; ME3GenContent
ENT_20_ID ; 1100005
ENT_21_entitlement ; BWE_ANCILLARY_LIARA_STATUE
ENT_21_group ; ME3GenAncillary
ENT_21_ID ; 1250001
ENT_22_entitlement ; BWE_ANCILLARY_N7_MOUSE
ENT_22_group ; ME3GenAncillary
ENT_22_ID ; 1250002
ENT_23_entitlement ; BWE_ANCILLARY_N7_KEYBOARD
ENT_23_group ; ME3GenAncillary
ENT_23_ID ; 1250003
ENT_24_entitlement ; BWE_ANCILLARY_N7_MOUSEPAD
ENT_24_group ; ME3GenAncillary
ENT_24_ID ; 1250004
ENT_25_entitlement ; BWE_ANCILLARY_N7_XBOX_CONTROLLER
ENT_25_group ; ME3GenAncillary
ENT_25_ID ; 1250005
ENT_26_entitlement ; BWE_ANCILLARY_N7_XBOX_HEADSET
ENT_26_group ; ME3GenAncillary
ENT_26_ID ; 1250006
ENT_27_entitlement ; BWE_ANCILLARY_N7_LAPTOP_BAG
ENT_27_group ; ME3GenAncillary
ENT_27_ID ; 1250007
ENT_28_entitlement ; BWE_ANCILLARY_N7_IPHONE_CASE
ENT_28_group ; ME3GenAncillary
ENT_28_ID ; 1250008
ENT_29_entitlement ; BWE_ANCILLARY_N7_IPAD_CASE
ENT_29_group ; ME3GenAncillary
ENT_29_ID ; 1250009
ENT_2_group ; ME3PCContent
ENT_30_entitlement ; BWE_ANCILLARY_MIRANDA_FIGURE
ENT_30_group ; ME3GenAncillary
ENT_30_ID ; 1250010
ENT_31_entitlement ; BWE_ANCILLARY_MORDIN_FIGURE
ENT_31_group ; ME3GenAncillary
ENT_31_ID ; 1250011
ENT_32_entitlement ; BWE_ANCILLARY_LEGION_FIGURE
ENT_32_group ; ME3GenAncillary
ENT_32_ID ; 1250012
ENT_33_entitlement ; BWE_ANCILLARY_GARRUS_FIGURE
ENT_33_group ; ME3GenAncillary
ENT_33_ID ; 1250013
ENT_34_entitlement ; BWE_ANCILLARY_TALI_FIGURE
ENT_34_group ; ME3GenAncillary
ENT_34_ID ; 1250014
ENT_35_entitlement ; BWE_ANCILLARY_GRUNT_FIGURE
ENT_35_group ; ME3GenAncillary
ENT_35_ID ; 1250015
ENT_36_entitlement ; BWE_ANCILLARY_THANE_FIGURE
ENT_36_group ; ME3GenAncillary
ENT_36_ID ; 1250016
ENT_37_entitlement ; BWE_ANCILLARY_SHEPARD_FIGURE
ENT_37_group ; ME3GenAncillary
ENT_37_ID ; 1250017
ENT_38_entitlement ; BWE_ANCILLARY_APPAREL
ENT_38_group ; ME3GenAncillary
ENT_38_ID ; 1250018
ENT_39_entitlement ; BWE_ANCILLARY_DH_ARTBOOK
ENT_39_group ; ME3GenAncillary
ENT_39_ID ; 1250019
ENT_3_group ; ME3GenOffers
ENT_40_entitlement ; ME3_PRC_RESURGENCE
ENT_40_group ; ME3PCContent
ENT_40_ID ; 2300
ENT_40_param ; MP_DLC=TRUE&stringref=728589&MP_Maps=BioP_MPGeth&MP_Maps=BioP_MPMoon
ENT_41_entitlement ; ME3_PRO_MAGICAL_02
ENT_41_group ; ME3GenOffers
ENT_41_ID ; 2000001
ENT_42_entitlement ; BW_ANCILLARY_ALLIANCE_NORMANDY
ENT_42_group ; ME3GenAncillary
ENT_42_ID ; 1250020
ENT_43_entitlement ; BW_ANCILLARY_CERBERUS_NORMANDY
ENT_43_group ; ME3GenAncillary
ENT_43_ID ; 1250021
ENT_44_entitlement ; BWE_ANCILLARY_TRIFORCE_M8
ENT_44_group ; ME3GenAncillary
ENT_44_ID ; 1250022
ENT_45_entitlement ; BWE_ANCILLARY_CALIBUR11_CONSOLE
ENT_45_group ; ME3GenAncillary
ENT_45_ID ; 1250023
ENT_46_entitlement ; BWE_ANCILLARY_SILVER_NORMANDY
ENT_46_group ; ME3GenAncillary
ENT_46_ID ; 1250024
ENT_47_entitlement ; BWE_ANCILLARY_DH_DIGARTBOOK
ENT_47_group ; ME3GenAncillary
ENT_47_ID ; 1250025
ENT_48_entitlement ; BWE_ANCILLARY_DH_DIGINVASION
ENT_48_group ; ME3GenAncillary
ENT_48_ID ; 1250026
ENT_49_entitlement ; ME3_PRO_COMMEND_01
ENT_49_group ; ME3GenContent
ENT_49_ID ; 1500000
ENT_4_group ; ME3GenContent
ENT_50_entitlement ; ME3_PRO_COMMEND_O2
ENT_50_group ; ME3GenContent
ENT_50_ID ; 1500001
ENT_51_entitlement ; ME3_PRO_COMMEND_03
ENT_51_group ; ME3GenContent
ENT_51_ID ; 1500002
ENT_52_entitlement ; ME3_PRO_COMMEND_04
ENT_52_group ; ME3GenContent
ENT_52_ID ; 1500003
ENT_53_entitlement ; ME3_PRO_COMMEND_05
ENT_53_group ; ME3GenContent
ENT_53_ID ; 1500004
ENT_54_entitlement ; ME3_PRO_COMMEND_06
ENT_54_group ; ME3GenContent
ENT_54_ID ; 1500005
ENT_55_entitlement ; ME3_PRO_COMMEND_07
ENT_55_group ; ME3GenContent
ENT_55_ID ; 1500006
ENT_56_entitlement ; ME3_PRO_COMMEND_08
ENT_56_group ; ME3GenContent
ENT_56_ID ; 1500007
ENT_57_entitlement ; ME3_PRC_EARTH
ENT_57_group ; ME3PCContent
ENT_57_ID ; 2700
ENT_57_param ; MP_DLC=TRUE&stringref=747202&MP_Maps=BioP_MPHosp&MP_Maps=BioP_MPOcean&MP_Maps=BioP_MPRoad
ENT_58_entitlement ; ME3_MP2_PRESSUNLOCK
ENT_58_group ; ME3GenContent
ENT_58_ID ; 1300001
ENT_59_entitlement ; BWE_ANCILLARY_FEMSHEP_STATUE
ENT_59_group ; ME3GenAncillary
ENT_59_ID ; 1250028
ENT_5_group ; ME3GenAncillary
ENT_60_entitlement ; BWE_ANCILLARY_SHEPARD_STATUE
ENT_60_group ; ME3GenAncillary
ENT_60_ID ; 1250029
ENT_61_entitlement ; BWE_ANCILLARY_TRIFORCE_M3
ENT_61_group ; ME3GenAncillary
ENT_61_ID ; 1250030
ENT_62_entitlement ; ME3_PRC_GOBIG
ENT_62_group ; ME3PCContent
ENT_62_ID ; 3050
ENT_62_param ; MP_DLC=TRUE&stringref=768382&MP_Maps=BioP_MPNov2&MP_Maps=BioP_MPCer2&MP_Maps=BioP_MPDish2&MP_Maps=BioP_MPRctr2&MP_Maps=BioP_MPSlum2&MP_Maps=BioP_MPTowr2&MP_Maps=BioP_MPTowr3&MP_Maps=BioP_MPNov3&MP_Maps=BioP_MPCer3
ENT_63_entitlement ; BWE_ANCILLARY_ASHLEY_STATUE
ENT_63_group ; ME3GenAncillary
ENT_63_ID ; 1250031
ENT_64_entitlement ; ME3_CS_CREDITS_02
ENT_64_group ; ME3GenContent
ENT_64_ID ; 1300005
ENT_65_entitlement ; ME3_CS_CREDITS_03
ENT_65_group ; ME3GenContent
ENT_65_ID ; 1300006
ENT_66_entitlement ; ME3_PRO_COMMEND_11
ENT_66_group ; ME3GenContent
ENT_66_ID ; 1500010
ENT_67_entitlement ; ME3_PRO_COMMEND_12
ENT_67_group ; ME3GenContent
ENT_67_ID ; 1500011
ENT_68_entitlement ; ME3_PRO_COMMEND_13
ENT_68_group ; ME3GenContent
ENT_68_ID ; 1500012
ENT_69_entitlement ; ME3_PRO_COMMEND_14
ENT_69_group ; ME3GenContent
ENT_69_ID ; 1500013
ENT_6_entitlement ; BF3:PC:ADDSVETRANK
ENT_6_group ; AddsVetRank
ENT_6_ID ; 1150000
ENT_70_entitlement ; ME3_PRO_COMMEND_15
ENT_70_group ; ME3GenContent
ENT_70_ID ; 1500014
ENT_71_entitlement ; ME3_PRO_COMMEND_16
ENT_71_group ; ME3GenContent
ENT_71_ID ; 1500015
ENT_72_entitlement ; ME3_PRO_COMMEND_17
ENT_72_group ; ME3GenContent
ENT_72_ID ; 1500016
ENT_73_entitlement ; ME3_PRO_COMMEND_18
ENT_73_group ; ME3GenContent
ENT_73_ID ; 1500017
ENT_74_entitlement ; ME3_PRO_COMMEND_19
ENT_74_group ; ME3GenContent
ENT_74_ID ; 1500018
ENT_75_entitlement ; ME3_PRO_COMMEND_20
ENT_75_group ; ME3GenContent
ENT_75_ID ; 1500019
ENT_76_entitlement ; ME3_PRO_CHALLENGE_01
ENT_76_group ; ME3PCOffers
ENT_76_ID ; 1500101
ENT_77_entitlement ; ME3_PRO_CHALLENGE_02
ENT_77_group ; ME3PCOffers
ENT_77_ID ; 1500102
ENT_78_entitlement ; ME3_PRO_CHALLENGE_03
ENT_78_group ; ME3PCOffers
ENT_78_ID ; 1500103
ENT_79_entitlement ; ME3_PRO_CHALLENGE_04
ENT_79_group ; ME3PCOffers
ENT_79_ID ; 1500104
ENT_7_entitlement ; PROJECT10_CODE_CONSUMED
ENT_7_group ; ME3PCOffers
ENT_7_ID ; 101
ENT_80_entitlement ; ME3_PRO_CHALLENGE_05
ENT_80_group ; ME3PCOffers
ENT_80_ID ; 1500105
ENT_81_entitlement ; ME3_PRO_CHALLENGE_06
ENT_81_group ; ME3PCOffers
ENT_81_ID ; 1500106
ENT_82_entitlement ; ME3_PRO_CHALLENGE_07
ENT_82_group ; ME3PCOffers
ENT_82_ID ; 1500107
ENT_83_entitlement ; ME3_PRO_CHALLENGE_08
ENT_83_group ; ME3PCOffers
ENT_83_ID ; 1500108
ENT_84_entitlement ; ME3_PRO_CHALLENGE_09
ENT_84_group ; ME3PCOffers
ENT_84_ID ; 1500109
ENT_85_entitlement ; ME3_PRO_CHALLENGE_10
ENT_85_group ; ME3PCOffers
ENT_85_ID ; 1500110
ENT_86_entitlement ; ME3_PRO_CHALLENGE_11
ENT_86_group ; ME3PCOffers
ENT_86_ID ; 1500111
ENT_87_entitlement ; ME3_PRO_CHALLENGE_12
ENT_87_group ; ME3PCOffers
ENT_87_ID ; 1500112
ENT_88_entitlement ; ME3_PRO_CHALLENGE_13
ENT_88_group ; ME3PCOffers
ENT_88_ID ; 1500113
ENT_89_entitlement ; ME3_PRO_CHALLENGE_14
ENT_89_group ; ME3PCOffers
ENT_89_ID ; 1500114
ENT_8_entitlement ; PROJECT10_CODE_CONSUMED_LE1
ENT_8_group ; ME3PCOffers
ENT_8_ID ; 102
ENT_8_param ; BWID=101
ENT_90_entitlement ; ME3_PRO_CHALLENGE_15
ENT_90_group ; ME3PCOffers
ENT_90_ID ; 1500115
ENT_91_entitlement ; ME3_PRO_CHALLENGE_16
ENT_91_group ; ME3PCOffers
ENT_91_ID ; 1500116
ENT_92_entitlement ; ME3_PRO_CHALLENGE_17
ENT_92_group ; ME3PCOffers
ENT_92_ID ; 1500117
ENT_93_entitlement ; ME3_PRO_CHALLENGE_18
ENT_93_group ; ME3PCOffers
ENT_93_ID ; 1500118
ENT_94_entitlement ; ME3_PRO_CHALLENGE_19
ENT_94_group ; ME3PCOffers
ENT_94_ID ; 1500119
ENT_95_entitlement ; ME3_PRO_CHALLENGE_20
ENT_95_group ; ME3PCOffers
ENT_95_ID ; 1500120
ENT_96_entitlement ; ME3_CS_SERVICE_01
ENT_96_group ; ME3GenContent
ENT_96_ID ; 1400000
ENT_97_entitlement ; ME3_CS_SERVICE_02
ENT_97_group ; ME3GenContent
ENT_97_ID ; 1400001
ENT_98_entitlement ; ME3_CS_SERVICE_03
ENT_98_group ; ME3GenContent
ENT_98_ID ; 1400002
ENT_99_entitlement ; BWE_ANCILLARY_ME_ANIME_MOVIE
ENT_99_group ; ME3GenAncillary
ENT_99_ID ; 1250032
ENT_9_entitlement ; PROJECT10_CODE_CONSUMED_LE2
ENT_9_group ; ME3PCOffers
ENT_9_ID ; 103
ENT_9_param ; BWID=101
